DOC ID,Relation ID,Relation Type,Relation Name,Term 1,Term 2,abstract
1435788,CPR:8,N ,NOT AGONIST,Arg1:T2,Arg2:T11,amino acid is NOT AGONIST of nerve growth factor
1435788,CPR:8,N ,NOT AGONIST-ACTIVATOR,Arg1:T2,Arg2:T11,amino acid is NOT AGONIST-ACTIVATOR of nerve growth factor
1435788,CPR:8,N ,NOT AGONIST-INHIBITOR,Arg1:T2,Arg2:T11,amino acid is NOT AGONIST-INHIBITOR of nerve growth factor
1435788,CPR:9,N ,NOT ANTAGONIST,Arg1:T2,Arg2:T11,amino acid is NOT ANTAGONIST of nerve growth factor
14501155,CPR:4,Y ,INHIBITOR,Arg1:T17,Arg2:T28,clomipramine is INHIBITOR of 5-HT(2B )
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T17,Arg2:T28,clomipramine is NOT UPREGULATOR of 5-HT(2B )
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T17,Arg2:T28,clomipramine is NOT ACTIVATOR of 5-HT(2B )
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T17,Arg2:T28,clomipramine is NOT INDIRECT-UPREGULATOR of 5-HT(2B )
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T17,Arg2:T28,clomipramine is NOT AGONIST of 5-HT(2B )
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T17,Arg2:T28,clomipramine is NOT AGONIST-ACTIVATOR of 5-HT(2B )
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T17,Arg2:T28,clomipramine is NOT AGONIST-INHIBITOR of 5-HT(2B )
14501155,CPR:9,Y ,NOT ANTAGONIST,Arg1:T17,Arg2:T28,clomipramine is NOT ANTAGONIST of 5-HT(2B )
14501155,CPR:4,Y ,INHIBITOR,Arg1:T17,Arg2:T29,clomipramine is INHIBITOR of 5-HT(2C)
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T17,Arg2:T29,clomipramine is NOT UPREGULATOR of 5-HT(2C)
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T17,Arg2:T29,clomipramine is NOT ACTIVATOR of 5-HT(2C)
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T17,Arg2:T29,clomipramine is NOT INDIRECT-UPREGULATOR of 5-HT(2C)
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T17,Arg2:T29,clomipramine is NOT AGONIST of 5-HT(2C)
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T17,Arg2:T29,clomipramine is NOT AGONIST-ACTIVATOR of 5-HT(2C)
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T17,Arg2:T29,clomipramine is NOT AGONIST-INHIBITOR of 5-HT(2C)
14501155,CPR:9,Y ,NOT ANTAGONIST,Arg1:T17,Arg2:T29,clomipramine is NOT ANTAGONIST of 5-HT(2C)
14501155,CPR:6,Y ,ANTAGONIST,Arg1:T10,Arg2:T24,(-)-propranolol is ANTAGONIST of 5-HT(1A/1B)-receptor
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT UPREGULATOR of 5-HT(1A/1B)-receptor
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT ACTIVATOR of 5-HT(1A/1B)-receptor
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT INDIRECT-UPREGULATOR of 5-HT(1A/1B)-receptor
14501155,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT DOWNREGULATOR of 5-HT(1A/1B)-receptor
14501155,CPR:7,Y ,NOT INHIBITOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT INHIBITOR of 5-HT(1A/1B)-receptor
14501155,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT INDIRECT-DOWNREGULATOR of 5-HT(1A/1B)-receptor
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T10,Arg2:T24,(-)-propranolol is NOT AGONIST of 5-HT(1A/1B)-receptor
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT AGONIST-ACTIVATOR of 5-HT(1A/1B)-receptor
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T10,Arg2:T24,(-)-propranolol is NOT AGONIST-INHIBITOR of 5-HT(1A/1B)-receptor
14501155,CPR:6,Y ,ANTAGONIST,Arg1:T11,Arg2:T25,tropisetron is ANTAGONIST of 5-HT(3/4)-receptor
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T11,Arg2:T25,tropisetron is NOT UPREGULATOR of 5-HT(3/4)-receptor
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T11,Arg2:T25,tropisetron is NOT ACTIVATOR of 5-HT(3/4)-receptor
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T11,Arg2:T25,tropisetron is NOT INDIRECT-UPREGULATOR of 5-HT(3/4)-receptor
14501155,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T11,Arg2:T25,tropisetron is NOT DOWNREGULATOR of 5-HT(3/4)-receptor
14501155,CPR:7,Y ,NOT INHIBITOR,Arg1:T11,Arg2:T25,tropisetron is NOT INHIBITOR of 5-HT(3/4)-receptor
14501155,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T11,Arg2:T25,tropisetron is NOT INDIRECT-DOWNREGULATOR of 5-HT(3/4)-receptor
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T11,Arg2:T25,tropisetron is NOT AGONIST of 5-HT(3/4)-receptor
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T11,Arg2:T25,tropisetron is NOT AGONIST-ACTIVATOR of 5-HT(3/4)-receptor
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T11,Arg2:T25,tropisetron is NOT AGONIST-INHIBITOR of 5-HT(3/4)-receptor
14501155,CPR:6,Y ,ANTAGONIST,Arg1:T13,Arg2:T26,SB 206553 is ANTAGONIST of 5-HT(2B/2C)-receptor
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T13,Arg2:T26,SB 206553 is NOT UPREGULATOR of 5-HT(2B/2C)-receptor
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T13,Arg2:T26,SB 206553 is NOT ACTIVATOR of 5-HT(2B/2C)-receptor
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T13,Arg2:T26,SB 206553 is NOT INDIRECT-UPREGULATOR of 5-HT(2B/2C)-receptor
14501155,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T13,Arg2:T26,SB 206553 is NOT DOWNREGULATOR of 5-HT(2B/2C)-receptor
14501155,CPR:7,Y ,NOT INHIBITOR,Arg1:T13,Arg2:T26,SB 206553 is NOT INHIBITOR of 5-HT(2B/2C)-receptor
14501155,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T13,Arg2:T26,SB 206553 is NOT INDIRECT-DOWNREGULATOR of 5-HT(2B/2C)-receptor
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T13,Arg2:T26,SB 206553 is NOT AGONIST of 5-HT(2B/2C)-receptor
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T13,Arg2:T26,SB 206553 is NOT AGONIST-ACTIVATOR of 5-HT(2B/2C)-receptor
14501155,CPR:8,Y ,NOT AGONIST-INHIBITOR,Arg1:T13,Arg2:T26,SB 206553 is NOT AGONIST-INHIBITOR of 5-HT(2B/2C)-receptor
14501155,CPR:6,Y ,ANTAGONIST,Arg1:T15,Arg2:T27,ketanserin is ANTAGONIST of 5-HT(2A)
14501155,CPR:10,Y ,NOT UPREGULATOR,Arg1:T15,Arg2:T27,ketanserin is NOT UPREGULATOR of 5-HT(2A)
14501155,CPR:10,Y ,NOT ACTIVATOR,Arg1:T15,Arg2:T27,ketanserin is NOT ACTIVATOR of 5-HT(2A)
14501155,CPR:10,Y ,NOT INDIRECT-UPREGULATOR,Arg1:T15,Arg2:T27,ketanserin is NOT INDIRECT-UPREGULATOR of 5-HT(2A)
14501155,CPR:7,Y ,NOT DOWNREGULATOR,Arg1:T15,Arg2:T27,ketanserin is NOT DOWNREGULATOR of 5-HT(2A)
14501155,CPR:7,Y ,NOT INHIBITOR,Arg1:T15,Arg2:T27,ketanserin is NOT INHIBITOR of 5-HT(2A)
14501155,CPR:7,Y ,NOT INDIRECT-DOWNREGULATOR,Arg1:T15,Arg2:T27,ketanserin is NOT INDIRECT-DOWNREGULATOR of 5-HT(2A)
14501155,CPR:8,Y ,NOT AGONIST,Arg1:T15,Arg2:T27,ketanserin is NOT AGONIST of 5-HT(2A)
14501155,CPR:8,Y ,NOT AGONIST-ACTIVATOR,Arg1:T15,Arg2:T27,ketanserin is NOT AGONIST-ACTIVATOR of 5-HT(2A)
